id,predicted_price
2591820310,381095.22
7974200820,810300.5
7701450110,1112541.2
9522300010,1786235.2
9510861140,698493.9
1761300310,266504.66
7732410120,743791.2
7010701383,574305.0
291310170,456855.88
4232901990,595934.0
6840701125,731385.94
3971700580,470634.47
4202400078,265379.06
6064800090,338052.97
2626119028,155438.5
3303980660,1147467.5
862000020,547406.5
2386000070,1022550.44
1138000450,384078.7
1775800420,434711.44
2291401425,393957.1
2025770560,912703.0
3525069037,748890.25
9324800450,659952.25
8080400136,593889.8
8651540040,520529.3
9407001790,248572.14
1773101530,219674.7
9432900250,332033.94
1794500695,570238.0
2220069003,445980.94
923000120,469902.1
5728000060,537084.44
16000200,249563.6
1926059094,504802.06
6672900220,1017555.1
3629860060,840326.7
1822069109,487196.6
6675500105,364066.9
249000180,1538411.5
226059065,467374.72
396100110,239391.44
9264450460,333181.25
7853361210,374088.25
9474700020,281915.72
421000455,203464.03
3755200220,422286.5
7960100075,445590.25
9477100490,399816.56
9138100350,781359.1
1624049275,379978.56
2770606890,540806.2
1157200189,448483.72
2770601800,546880.56
9301300805,546176.4
2325069032,1166721.9
1021079099,331989.3
7215730040,708274.7
1853200080,497122.3
3224600340,748952.4
3222049120,413903.53
2113700025,340167.03
7893207925,204277.52
3586501085,534008.8
8024200010,476878.84
7116500705,147628.22
1598600209,282545.0
7204200025,927626.06
4206901505,546947.8
2937300440,893391.9
7205000180,265515.53
8718500665,365515.88
5318101765,852674.75
4122700020,914049.6
8078700020,573797.0
3303980680,1044514.94
8924100372,1133166.0
2781270210,204554.34
519000043,512596.56
3225069301,1781631.5
151000075,613492.7
2297400020,448882.53
6617500085,620791.9
104510180,240140.75
3528900060,959700.75
3345100286,561114.1
1226039130,414174.8
8712100720,807066.75
3037200010,382180.2
3626039268,442952.34
104510230,255592.48
5112800060,403529.22
6072400280,568856.2
5317100570,1051701.8
9528102993,523904.9
2919201095,416622.25
6181400920,276870.88
185000161,257685.6
8691400010,793548.7
3345700165,558046.7
6151800486,192867.06
4340000080,1209232.1
4136960010,484481.0
3634100030,353459.8
1624059224,1240610.0
2788400090,305012.38
9828200762,530333.9
7524400250,488383.3
3528000290,752312.6
5700003630,2351397.5
2720069019,279173.88
7227501170,226404.72
2397101270,621066.0
6792100090,708315.9
2770602265,653909.06
3971700937,296806.66
422049203,243495.72
3076500830,268963.47
1423400260,282795.72
9161100795,447991.72
3126049052,457849.03
5100401468,340745.0
514500235,452824.44
1423200170,184592.73
1402100070,390661.34
624110020,644947.3
2407000145,216233.28
1890000225,813856.8
1320069271,297747.62
5490700085,309342.94
263000155,516251.0
3726800201,374477.3
5153200358,274279.84
2725079018,746779.25
7165700200,292366.75
9429000170,546161.8
8718500075,406322.0
1760650950,288210.06
1068000559,1164041.1
4113800500,726392.2
4077800507,572144.56
2725069150,697310.5
4008400035,640526.6
7016310270,411953.44
1432701230,242238.73
3278606050,365257.3
2473350710,390545.88
2185000685,167253.08
7792000025,375673.8
6868200029,497848.66
624069003,742890.9
7431500280,892319.8
3296000040,593339.0
1118001215,1182172.6
6453900040,600689.9
333100209,659089.94
34001765,550512.6
8946700100,371471.7
5561401210,593764.06
6671900095,365632.3
3275850020,668944.5
3876300600,393272.03
1450900020,322555.12
8562780280,347365.88
7663700973,357999.97
2126049032,409402.2
1823059159,174364.62
3438503426,276189.66
9297301495,612407.2
7140700850,364174.9
7942601805,881048.9
2555900030,345031.3
2887970040,282213.22
7419700010,640939.75
2239000011,378037.2
9283800050,341916.84
9407001340,289399.9
217500140,572787.7
7212660520,254027.3
3298201170,343055.12
3057000400,288406.1
6865200444,465450.03
6071600340,432646.38
6821600005,670770.9
1235100371,847686.75
7796450340,346136.38
3603000410,192217.6
9297300255,614009.56
9126100850,586859.4
2770601462,557994.5
